date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1997-07-08,-21416,8191,60190,18066,39482,18518,10327
1997-07-15,-1334,-1594,58461,24744,26078,12607,14201
1997-07-22,3416,-2617,60054,31203,27787,11379,13996
1997-07-29,33562,-22087,79533,58833,25271,5255,27342
1997-08-05,48343,-29326,82030,68498,20155,2664,31990
1997-08-12,29773,-24325,73356,55297,25524,2476,26801
1997-08-19,33281,-26730,81269,63245,29964,2782,29512
1997-08-26,28947,-22748,82931,65147,36200,3752,26500
1997-09-02,46884,-29314,110153,85882,38998,6542,35856
1997-09-09,32524,-20403,125821,97562,65038,5446,25849
1997-09-16,38802,-23221,71476,59561,20759,2870,26091
1997-09-23,41528,-25155,76840,62681,21153,3593,28748
1997-09-30,35891,-26133,77580,60009,24118,4845,30978
1997-10-07,49197,-33002,88180,74709,25512,4373,37375
1997-10-14,26294,-18769,84844,62490,36196,8972,27741
1997-10-21,16326,-10907,87983,58204,41878,14984,25891
1997-10-28,19501,-16255,105651,72894,53393,12675,28930
1997-11-04,31082,-20842,108806,87499,56417,9965,30807
1997-11-11,51273,-34135,134949,111714,60441,11352,45487
1997-11-18,53061,-37522,138653,113982,60921,8915,46437
1997-11-25,56292,-40207,133612,112871,56579,6158,46365
1997-12-02,62727,-43148,143466,124683,61956,3730,46878
1997-12-09,59899,-43600,157450,130606,70707,6823,50423
1997-12-16,61209,-43086,99991,85379,24170,4327,47413
1997-12-19,51299,-36158,91440,75647,24348,3775,39933
1997-12-23,49534,-35407,89139,74117,24583,3504,38911
1997-12-30,48601,-33958,87300,73941,25340,3614,37572
1998-01-06,61357,-42053,100138,86534,25177,3729,45782
1998-01-13,55808,-37612,97500,84016,28208,2885,40497
1998-01-20,42292,-30261,91039,75058,32766,3475,33736
1998-01-27,23309,-22630,91369,67118,43809,6251,28881
1998-02-03,23900,-24272,98601,73200,49300,6556,30828
1998-02-10,-8074,-877,104328,62173,70247,18676,19553
1998-02-17,4745,-6623,104210,72605,67860,9330,15953
1998-02-24,16729,-9248,98205,74708,57979,8425,17673
1998-03-03,13140,-8939,97168,74783,61643,7090,16029
1998-03-10,21358,-14117,107136,86410,65052,4388,18505
1998-03-17,35803,-21116,68922,52362,16559,4937,26053
1998-03-24,51049,-32105,81988,68703,17654,4339,36444
1998-03-31,62278,-42798,99645,85085,22807,4090,46888
1998-04-07,78046,-55925,118672,102138,24092,4055,59980
1998-04-14,52520,-37264,89758,73013,20493,3826,41090
1998-04-21,54763,-39323,93359,77905,23142,3872,43195
1998-04-28,46367,-30425,88323,74905,28538,2056,32481
1998-05-05,38544,-26741,92803,69442,30898,6064,32805
