date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
2016-06-07,-9944,8536,57750,9710,19654,38562,30026
2016-06-14,1538,-3818,41919,7076,5538,29558,33376
2016-06-21,814,-3045,43562,8232,7418,30013,33058
2016-06-28,278,-2826,43462,8594,8316,29798,32624
2016-07-05,-629,-1403,44234,8336,8965,30606,32009
2016-07-12,-3655,1011,44750,7455,11110,31694,30683
2016-07-19,-4100,2173,41199,7029,11129,29156,26983
2016-07-26,-1223,215,39825,8610,9833,26598,26383
2016-08-02,-1987,217,40392,7911,9898,27049,26832
2016-08-09,-1180,-613,41475,7865,9045,28314,28927
2016-08-16,-1044,-695,43268,8865,9909,28980,29675
2016-08-23,-617,-878,44393,9141,9758,29926,30804
2016-08-30,-3534,1893,46496,8751,12285,31747,29854
2016-09-06,-7911,6128,51939,8475,16386,37243,31115
2016-09-13,-7466,5129,61941,10563,18029,34900,29771
2016-09-20,5923,-7916,49526,9079,3156,34778,42694
2016-09-27,4654,-6793,49416,9649,4995,34159,40952
2016-10-04,5147,-7830,49242,10859,5712,32224,40054
2016-10-11,5999,-7736,47124,10585,4586,30962,38698
2016-10-18,-924,-153,47413,12805,13729,29513,29666
2016-10-25,-888,-420,47257,12928,13816,29504,29924
2016-11-01,-433,-965,46788,13015,13448,28557,29522
2016-11-08,-4294,2505,52113,9833,14127,36124,33619
2016-11-15,-3737,2043,48563,9845,13582,33547,31504
2016-11-22,-523,-533,50007,13359,13882,31779,32312
2016-11-29,1575,-1872,49885,15554,13979,30231,32103
2016-12-06,2318,-3952,48740,16585,14267,27641,31593
2016-12-13,2122,-3702,54226,18064,15942,29402,33104
2016-12-20,6535,-6953,41806,9684,3149,28313,35266
2016-12-27,11732,-11001,43266,14716,2984,25448,36449
2017-01-03,12140,-11413,44227,15554,3414,25522,36935
2017-01-10,13751,-13960,43936,17423,3672,22989,36949
2017-01-17,12022,-12288,45994,16566,4544,25517,37805
2017-01-24,8797,-9883,44940,14606,5809,25851,35734
2017-01-31,-631,-1022,51587,13518,14149,32712,33734
2017-02-07,-3661,1845,54073,14090,17751,34860,33015
2017-02-14,-5058,2876,56314,14467,19525,36565,33689
2017-02-21,-4871,3158,55082,14632,19503,35252,32094
2017-02-28,-5341,2937,57102,14536,19877,37198,34261
2017-03-07,2252,-4425,51405,17135,14883,27207,31632
2017-03-14,5403,-5605,34986,11330,5927,19509,25114
2017-03-21,13500,-12610,37898,17942,4442,16599,29209
2017-03-28,13369,-12629,37949,18032,4663,16216,28845
2017-04-04,15412,-14724,40904,19914,4502,17009,31733
2017-04-11,15970,-15153,43375,20290,4320,19008,34161
2017-04-18,15757,-15006,43061,20734,4977,18320,33326
2017-04-25,16555,-15404,43947,21564,5009,18693,34097
2017-05-02,14227,-11970,43368,20814,6587,19190,31160
2017-05-09,13108,-10786,44057,28766,15658,12070,22856
2017-05-16,14420,-11954,45187,29921,15501,11918,23872
2017-05-23,11047,-9217,44165,26465,15418,14018,23235
2017-05-30,6711,-5539,44203,23102,16391,16886,22425
2017-06-06,1981,-1785,43814,19481,17500,19348,21133
2017-06-13,-2343,1595,53576,19392,21735,27261,25666
2017-06-20,-22739,21455,50095,5794,28533,38388,16933
2017-06-27,-26325,25233,57424,6381,32706,45001,19768
2017-07-03,-31299,29133,57560,6245,37544,44484,15351
2017-07-11,-33355,31905,58499,6414,39769,45435,13530
2017-07-18,-38120,35981,57496,6678,44798,44257,8276
2017-07-25,-37180,34805,54603,6720,43900,41221,6416
2017-08-01,-37567,34938,54968,6595,44162,41531,6593
2017-08-08,-35892,33485,53151,5948,41840,40241,6756
2017-08-15,-27585,24839,48413,7975,35560,33509,8670
2017-08-22,-24620,21882,44090,7153,31773,29590,7708
2017-08-29,-21304,18804,43732,8363,29667,29002,10198
2017-09-05,-16524,14723,46094,12532,29056,26773,12050
2017-09-12,-14544,12350,49256,17154,31698,25150,12800
2017-09-19,-8673,6670,37073,8494,17167,23248,16578
2017-09-26,-9788,8053,35914,7499,17287,22369,14316
2017-10-03,-9671,8118,34175,7575,17246,20928,12810
2017-10-10,-6550,5729,36460,9752,16302,21529,15800
2017-10-17,-7556,6977,33757,8147,15703,20423,13446
2017-10-24,-521,611,41185,15287,15808,20549,19938
2017-10-31,7460,-5707,49610,23224,15764,21763,27470
2017-11-07,12723,-11187,52072,28662,15939,18943,30130
2017-11-14,14403,-11891,53690,31070,16667,18146,30037
2017-11-21,16250,-13394,59737,33075,16825,22489,35883
2017-11-28,16201,-14022,61260,32751,16550,23960,37982
2017-12-05,14985,-12893,61386,32042,17057,24228,37121
2017-12-12,16432,-13428,74192,41601,25169,23811,37239
2017-12-19,18739,-16619,48385,25914,7175,19456,36075
2017-12-26,19621,-17586,47219,26015,6394,18140,35726
2018-01-02,18647,-16985,45141,25888,7241,15509,32494
2018-01-09,11930,-11017,45519,24560,12630,17304,28321
2018-01-16,7727,-7991,46780,23916,16189,17795,25786
2018-01-23,1244,-1466,53374,22850,21606,24620,26086
2018-01-30,-5005,3470,55783,21254,26259,29667,26197
2018-02-06,-4258,3332,55563,20980,25238,29316,25984
2018-02-13,-2706,2220,53739,20176,22882,28648,26428
