epoch,quote,digit,sigma,sigma_bin
1781629202,208.91,1,3.7858,38
1781629203,208.93,3,3.7851,38
1781629204,208.94,4,3.7841,38
1781629205,208.94,4,3.7830,38
1781629206,208.92,2,3.7822,38
1781629207,208.95,5,3.7818,38
1781629208,208.95,5,3.7807,38
1781629209,209,0,3.7815,38
1781629210,209.02,2,3.7808,38
1781629211,208.97,7,3.7816,38
1781629212,208.99,9,3.7808,38
1781629213,209,0,3.7798,38
1781629214,208.94,4,3.7814,38
1781629215,208.93,3,3.7804,38
1781629216,208.98,8,3.7812,38
1781629217,209,0,3.7804,38
1781629218,209.06,6,3.7821,38
1781629219,209.03,3,3.7817,38
1781629220,209.09,9,3.7833,38
1781629221,209.18,8,3.7883,38
1781629222,209.16,6,3.7875,38
1781629223,209.29,9,3.7990,38
1781629224,209.22,2,3.8016,38
